covariate,exp(coef)_pre_f_a,exp(coef)lower_pre_f_a,exp(coef)upper_pre_f_a,exp(coef)_pre_m_a,exp(coef)lower_pre_m_a,exp(coef)upper_pre_m_a,exp(coef)_intra_f_a,exp(coef)lower_intra_f_a,exp(coef)upper_intra_f_a,exp(coef)_intra_m_a,exp(coef)lower_intra_m_a,exp(coef)upper_intra_m_a,exp(coef)_pre_f_u,exp(coef)lower_pre_f_u,exp(coef)upper_pre_f_u,exp(coef)_pre_m_u,exp(coef)lower_pre_m_u,exp(coef)upper_pre_m_u,exp(coef)_intra_f_u,exp(coef)lower_intra_f_u,exp(coef)upper_intra_f_u,exp(coef)_intra_m_u,exp(coef)lower_intra_m_u,exp(coef)upper_intra_m_u
Blood Type: AB+ (vs O+),0.91,0.9,0.92,0.9,0.89,0.91,0.96,0.95,0.97,0.94,0.93,0.95,0.916332,0.904175,0.928653,0.888182,0.878201,0.898277,0.904332,0.893502,0.915293,0.902925,0.894088,0.911849
Blood Type: A- (vs O+),0.92,0.91,0.93,0.93,0.92,0.94,0.94,0.93,0.96,0.92,0.91,0.94,0.952195,0.93975,0.964804,0.982329,0.969352,0.995479,0.952343,0.940969,0.963856,0.988011,0.976216,0.999948
Blood Type: A+ (vs O+),0.93,0.92,0.93,0.92,0.91,0.92,0.95,0.95,0.96,0.93,0.93,0.93,0.926696,0.921744,0.931675,0.909828,0.905314,0.914364,0.896703,0.892344,0.901083,0.904072,0.900151,0.908009
Blood Type: B- (vs O+),1,0.98,1.01,1,0.98,1.02,1,0.99,1.02,0.99,0.97,1,1.037275,1.018164,1.056745,1.062016,1.041289,1.083155,1.048664,1.030471,1.067178,1.080323,1.06133,1.099655
Blood Type: B+ (vs O+),1,1,1.01,1,0.99,1,1,0.99,1,0.98,0.98,0.99,0.995304,0.988884,1.001766,0.997249,0.991281,1.003253,0.999915,0.994047,1.005817,0.982551,0.977365,0.987764
Blood Type: O- (vs O+),0.99,0.98,1,1.01,1,1.02,1.01,1,1.02,1,0.99,1.01,1.049065,1.039938,1.058273,1.119133,1.108107,1.130268,1.085555,1.076876,1.094305,1.158841,1.148442,1.169335
First Time Donors with HGB Deferral (Interaction Term),0.67,0.53,0.86,0.72,0.64,0.81,1.3,0.91,1.85,1.23,1.02,1.48,0,0,0,0,0,0,0,0,0,0,0,0
Drives in the next year: 3-6 (vs 12+),0,0,0,1.02,1.02,1.03,0,0,0,1.05,1.04,1.05,0,0,0,1.102349,1.097521,1.107198,0,0,0,1.041595,1.037146,1.046063
Drives in the next year: 7-12 (vs 12+),0,0,0,1.04,1.03,1.05,0,0,0,1,0.99,1,0,0,0,1.171194,1.163628,1.17881,0,0,0,1.165685,1.158511,1.172903
Drives in the next year: 1 (vs 12+),0,0,0,0.68,0.68,0.69,0,0,0,0.78,0.78,0.79,0,0,0,0.622562,0.616378,0.628808,0,0,0,0.646158,0.640926,0.651433
Drives in the next year: 2 (vs 12+),0,0,0,0.85,0.84,0.85,0,0,0,0.89,0.89,0.9,0,0,0,0.770155,0.76391,0.776451,0,0,0,0.753706,0.747965,0.759492
